Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,GetObject,Requests-Tier2,actions.energyactioncoalition.org,06/01/08 00:00:00,06/02/08 00:00:00,28
AmazonS3,GetObject,DataTransfer-Out-Bytes,seiuvoice.org,06/01/08 00:00:00,06/02/08 00:00:00,436622460
AmazonS3,PutObject,DataTransfer-In-Bytes,actions.energyactioncoalition.org,06/01/08 00:00:00,06/02/08 00:00:00,4224
AmazonS3,GetObject,Requests-Tier2,seiuvoice.org,06/01/08 00:00:00,06/02/08 00:00:00,64115
AmazonS3,PutObject,Requests-Tier1,actions.energyactioncoalition.org,06/01/08 00:00:00,06/02/08 00:00:00,24
AmazonS3,GetObject,DataTransfer-Out-Bytes,notyoursoldier.org,06/01/08 00:00:00,06/02/08 00:00:00,2043796834
AmazonS3,GetObject,Requests-Tier2,notyoursoldier.org,06/01/08 00:00:00,06/02/08 00:00:00,595
AmazonS3,UnknownAction,Requests-NoCharge,codepink4peace.org,06/01/08 00:00:00,06/02/08 00:00:00,41
AmazonS3,GetObject,DataTransfer-Out-Bytes,corpwatch.org,06/01/08 00:00:00,06/02/08 00:00:00,340934075
AmazonS3,GetObject,Requests-Tier2,corpwatch.org,06/01/08 00:00:00,06/02/08 00:00:00,99849
AmazonS3,UnknownAction,DataTransfer-Out-Bytes,codepink4peace.org,06/01/08 00:00:00,06/02/08 00:00:00,15296
AmazonS3,GetObject,DataTransfer-Out-Bytes,codepink4peace.org,06/01/08 00:00:00,06/02/08 00:00:00,734235898
AmazonS3,HeadObject,Requests-Tier2,codepink4peace.org,06/01/08 00:00:00,06/02/08 00:00:00,65
AmazonS3,GetObject,Requests-Tier2,codepink4peace.org,06/01/08 00:00:00,06/02/08 00:00:00,58706
AmazonS3,GetObject,DataTransfer-Out-Bytes,stepitup2007.org,06/01/08 00:00:00,06/02/08 00:00:00,153464340
AmazonS3,GetObject,DataTransfer-Out-Bytes,actions.energyactioncoalition.org,06/01/08 00:00:00,06/02/08 00:00:00,807155
AmazonS3,GetObject,Requests-Tier2,stepitup2007.org,06/01/08 00:00:00,06/02/08 00:00:00,9114
AmazonS3,PutObject,Requests-Tier1,seiuvoice.org,06/01/08 00:00:00,06/02/08 00:00:00,19
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.unitedforpeace.org,06/01/08 00:00:00,06/02/08 00:00:00,872812
AmazonS3,PutObject,DataTransfer-In-Bytes,seiuvoice.org,06/01/08 00:00:00,06/02/08 00:00:00,155491
AmazonS3,HeadObject,Requests-Tier2,seiuvoice.org,06/01/08 00:00:00,06/02/08 00:00:00,37
AmazonS3,GetObject,Requests-Tier2,events.unitedforpeace.org,06/01/08 00:00:00,06/02/08 00:00:00,55
AmazonS3,PutObject,Requests-Tier1,events.unitedforpeace.org,06/01/08 00:00:00,06/02/08 00:00:00,48
AmazonS3,PutObject,DataTransfer-In-Bytes,events.unitedforpeace.org,06/01/08 00:00:00,06/02/08 00:00:00,8448
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.momsrising.org,06/01/08 00:00:00,06/02/08 00:00:00,2217700
AmazonS3,HeadObject,Requests-Tier2,notyoursoldier.org,06/01/08 00:00:00,06/02/08 00:00:00,4
AmazonS3,HeadObject,Requests-Tier2,corpwatch.org,06/01/08 00:00:00,06/02/08 00:00:00,6
AmazonS3,GetObject,Requests-Tier2,events.momsrising.org,06/01/08 00:00:00,06/02/08 00:00:00,30
AmazonS3,UnknownAction,Requests-NoCharge,corpwatch.org,06/01/08 00:00:00,06/02/08 00:00:00,1
AmazonS3,UnknownAction,DataTransfer-Out-Bytes,corpwatch.org,06/01/08 00:00:00,06/02/08 00:00:00,396
AmazonS3,PutObject,Requests-Tier1,corpwatch.org,06/01/08 00:00:00,06/02/08 00:00:00,15
AmazonS3,PutObject,DataTransfer-In-Bytes,corpwatch.org,06/01/08 00:00:00,06/02/08 00:00:00,1157982
AmazonS3,GetObject,Requests-Tier2,events.radicaldesigns.org,06/01/08 00:00:00,06/02/08 00:00:00,3
AmazonS3,GetObject,Requests-Tier2,events.catalogcutdown.org,06/01/08 00:00:00,06/02/08 00:00:00,12
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.radicaldesigns.org,06/01/08 00:00:00,06/02/08 00:00:00,693
AmazonS3,GetObject,Requests-Tier2,actionecho.radicaldesigns.org,06/01/08 00:00:00,06/02/08 00:00:00,10
AmazonS3,GetObject,DataTransfer-Out-Bytes,actionecho.radicaldesigns.org,06/01/08 00:00:00,06/02/08 00:00:00,1757415
AmazonS3,StandardStorage,TimedStorage-ByteHrs,seiuvoice.org,06/01/08 00:00:00,06/02/08 00:00:00,2007178392
AmazonS3,StandardStorage,TimedStorage-ByteHrs,radicaldesigns,06/01/08 00:00:00,06/02/08 00:00:00,293224968
AmazonS3,StandardStorage,TimedStorage-ByteHrs,everythingscool.org,06/01/08 00:00:00,06/02/08 00:00:00,383188824
AmazonS3,StandardStorage,TimedStorage-ByteHrs,events.catalogcutdown.org,06/01/08 00:00:00,06/02/08 00:00:00,833248848
AmazonS3,StandardStorage,TimedStorage-ByteHrs,actions.energyactioncoalition.org,06/01/08 00:00:00,06/02/08 00:00:00,1218010584
AmazonS3,StandardStorage,TimedStorage-ByteHrs,radicaldesignsdebian,06/01/08 00:00:00,06/02/08 00:00:00,3365081280
AmazonS3,StandardStorage,TimedStorage-ByteHrs,quarantinewalmart.com,06/01/08 00:00:00,06/02/08 00:00:00,182990352
AmazonS3,StandardStorage,TimedStorage-ByteHrs,events.womenarts.org,06/01/08 00:00:00,06/02/08 00:00:00,1817124096
