Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,PutObject,C3DataTransfer-In-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",13863
AmazonS3,PutObject,C3DataTransfer-In-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",5617575
AmazonS3,GetObject,C3DataTransfer-Out-Bytes,corpwatch.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",110320
AmazonS3,GetObject,C3DataTransfer-Out-Bytes,codepink4peace.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",3746
AmazonS3,GetObject,C3DataTransfer-Out-Bytes,codepink4peace.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",365598
AmazonS3,GetObject,C3DataTransfer-Out-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",13863
AmazonS3,GetObject,C3DataTransfer-Out-Bytes,corpwatch.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",224504
AmazonS3,GetObject,C3DataTransfer-Out-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",5617575
AmazonS3,GetObject,C3DataTransfer-Out-Bytes,codepink4peace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",1554904
AmazonS3,PutObject,DataTransfer-In-Bytes,actions.energyactioncoalition.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",4224
AmazonS3,PutObject,DataTransfer-In-Bytes,seiuvoice.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",155491
AmazonS3,PutObject,DataTransfer-In-Bytes,events.unitedforpeace.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",8448
AmazonS3,PutObject,DataTransfer-In-Bytes,corpwatch.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",1157982
AmazonS3,PutObject,DataTransfer-In-Bytes,codepink4peace.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",734248
AmazonS3,PutObject,DataTransfer-In-Bytes,events.womenarts.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",4224
AmazonS3,PutObject,DataTransfer-In-Bytes,codepink4peace.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",267601
AmazonS3,PutObject,DataTransfer-In-Bytes,actions.energyactioncoalition.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",4224
AmazonS3,PutObject,DataTransfer-In-Bytes,events.unitedforpeace.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",8448
AmazonS3,PutObject,DataTransfer-In-Bytes,seiuvoice.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",943324
AmazonS3,PutObject,DataTransfer-In-Bytes,events.radicaldesigns.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",27877
AmazonS3,PutObject,DataTransfer-In-Bytes,codepink4peace.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",548236
AmazonS3,PutObject,DataTransfer-In-Bytes,events.womenarts.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",4224
AmazonS3,PutObject,DataTransfer-In-Bytes,actions.energyactioncoalition.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",8448
AmazonS3,PutObject,DataTransfer-In-Bytes,events.unitedforpeace.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",4224
AmazonS3,PutObject,DataTransfer-In-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",5663667
AmazonS3,PutObject,DataTransfer-In-Bytes,seiuvoice.org,"Jun 3, 2008 12:00 AM","Jun 4, 2008 12:00 AM",184046
AmazonS3,PutObject,DataTransfer-In-Bytes,codepink4peace.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",5320311
AmazonS3,PutObject,DataTransfer-In-Bytes,seiuvoice.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",87237
AmazonS3,PutObject,DataTransfer-In-Bytes,unitedforpeace.org,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",91748
AmazonS3,PutObject,DataTransfer-In-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 4, 2008 12:00 AM","Jun 5, 2008 12:00 AM",13863
AmazonS3,PutObject,DataTransfer-In-Bytes,codepink4peace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",308543
AmazonS3,PutObject,DataTransfer-In-Bytes,unitedforpeace.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",3298
AmazonS3,PutObject,DataTransfer-In-Bytes,events.womenarts.org,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",581177
AmazonS3,PutObject,DataTransfer-In-Bytes,4b8545297362cfff9efe73a19b7c30d2-default,"Jun 5, 2008 12:00 AM","Jun 6, 2008 12:00 AM",21503528
